LICENCE,NAME,MAILING_ADDRESS,BUSINESS_ID,CIVIC_ADDRESS,LICENCE_YEAR,APPLICATION_DATE,X,Y,DESCRIPTION,STATUS,LICENCE_DESC,LEGAL_ID,STREET,YEAR,GISLINK
10037,COFFEE PATCH,,38652C090424111505230000,"200 815 CLOVERDALE AVE
VICTORIA BC  V8X 5H9  (Alias or unit within)
805 CLOVERDALE AVE
VICTORIA   BC   V8X 2S9",2012,2012-01-01-00.00.00.000000,,,RESTAURANT,APPROVED,NOT APPLICABLE,124C20050113113751420000,CLOVERDALE AVE,,018-902-715
10038,MINI-MIRACLES CHILDREN'S CLOTHING,,38652C090424113138490000,"3967 STAN WRIGHT LANE
VICTORIA BC  V8P 0A1",2012,2012-01-01-00.00.00.000000,,,SALES/SERVICE,APPROVED,INTERNET/MAIL ORDER SALES,565C20060612110914170000,STAN WRIGHT LANE,,026-686-830
10039,LECLAIR MASSAGE,,39331C090427082352590000,"102 1032 INVERNESS RD
VICTORIA BC  V8X 2S1",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,MASSAGE THERAPIST,1819991012115306900000,INVERNESS RD,,VIS2758
1004,NIKKA CULTURAL & EDUCATIONAL LIAISON,,BLBUS-0914020400000905,3901 LEXINGTON AVENUE,2002,2002-01-01-00.00.00.000000,,,PERSONAL SERVICE,APPROVED,NOT APPLICABLE,1819991012110514130000,LEXINGTON AVE,,001-416-367
10040,R O C CONTRACTING,,43431C090501100742910000,"201 108 GORGE RD W
VICTORIA BC  V9A 1M2",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,GENERAL CONTRACTOR,1819991012124723930000,GORGE RD W,,VIS2490
10041,CAL'S LAWN CARE,,43431C090501102238780000,"4159 ROY PL
VICTORIA BC  V8Z 7X3",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,LANDSCAPING,621820001031145748500000,ROY PL,,024-863-777
10042,MADE WITH LOVE CRAFTED COSMETICS LTD,,43431C090501102626550000,"720 VERNON AVE
VICTORIA BC  V8Z 3X6",2011,2011-01-01-00.00.00.000000,,,HOME CRAFTS,TRANSFERRED,NOT APPLICABLE,1819991012122504620000,VERNON AVE,,000-157-210
10043,0849478 BC LTD,,43431C090501103020880000,"987 TATTERSALL DR
VICTORIA BC  V8X 2X1",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,CONSULTANT,1819991012122050980000,TATTERSALL DR,,007-077-378
10044,ISLAND SPINDLE CO,,43431C090501105946180000,"1120 ROCK ST
VICTORIA BC  V8P 2B8",2010,2010-01-01-00.00.00.000000,,,HOME CRAFTS,APPROVED,NOT APPLICABLE,1819991012121238620000,ROCK ST,,006-101-054
10045,ARMADILLO TECHNOLOGIES,,47882C090507174244430000,"1805 EMERY PL
VICTORIA BC  V8P 3A1",2011,2011-01-01-00.00.00.000000,,,SALES/SERVICE,APPROVED,INTERNET/MAIL ORDER SALES,55560C081112133503090000,EMERY PL,,027-694-704
10046,"HOLMAN, DENNIS M",,47882C090507175337430000,"3550 CEDAR HILL RD
VICTORIA BC  V8P 3Z1",2012,2012-01-01-00.00.00.000000,,,CONSULTANT,APPROVED,MANAGEMENT,1819991012121433420000,CEDAR HILL RD,,000-224-731
10047,ROBERT MESMER INTERNATIONAL,,48662C090508154958000000,"4315 EMILY CARR DR
VICTORIA BC  V8X 5E4",2011,2011-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,INSTRUCTION/TRAINING,1819991012152820930000,EMILY CARR DR,,013-883-470
10048,"MEYER, WILLIAM",,48662C090508160200410000,"1535 JASPER PL
VICTORIA BC  V8P 1N9",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,INSTRUCTION/TRAINING,1819991012133105030000,JASPER PL,,004-541-464
10049,PAUL SMITH ELECTRICAL SERVICES,,48662C090508160855340000,"3929 BRAEFOOT RD
VICTORIA BC  V8P 3T3",2011,2011-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,ELECTRICAL,1819991012120258560000,BRAEFOOT RD,,005-637-660
1005,CARMEN DAY SPA,,BLBUS-0914020400000906,"4197 PALAMOS CLOSE
VICTORIA   BC
V8N 6H3",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,PERSONAL SERVICE,1819991012110859820000,PALAMOS CLOSE,,007-238-088
10050,HORTICULTURE CENTRE OF THE PACIFIC,,48790C090511104827920000,"505 QUAYLE RD
VICTORIA BC  V9E 2J7",2012,2012-01-01-00.00.00.000000,,,REGISTERED SOCIETY,APPROVED,NOT APPLICABLE,3919991012164846790000,QUAYLE RD,,024-387-231
10051,COBS BREAD,,49855C090512075311760000,"110 4430 WEST SAANICH RD
VICTORIA BC  V8Z 3E9  (Alias or unit within)
4410 WEST SAANICH RD
VICTORIA   BC   V8Z 3E9",2011,2011-01-01-00.00.00.000000,,,RETAIL SALES,WITHHELD,BAKERY,97790C070622110213560000,WEST SAANICH RD,,023-933-500
10052,COMET GRAPHICS,,49855C090512075856970000,"12 755 VANALMAN AVE
VICTORIA BC  V8Z 3B8",2010,2010-01-01-00.00.00.000000,,,MANUFACTURING,APPROVED,NOT APPLICABLE,1819991012103559540000,VANALMAN AVE,,VIS1642
10053,WEIR DESIGN & ENGINEERING INC.,,49855C090512082553360000,"2 3338 WHITTIER AVE
VICTORIA BC  V8Z 3P9",2012,2012-01-01-00.00.00.000000,,,CONSULTANT,APPROVED,ENGINEERING,775320030128090350730000,WHITTIER AVE,,VIS5287
10054,ALL-PRO LAWN CARE,,49855C090512084311440000,"1487 MT. DOUGLAS CROSS RD
VICTORIA BC  V8X 3H6",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,LANDSCAPING,622320020808091001320000,MT. DOUGLAS CROSS RD,,025-438-255
10055,RICHARDSON GMP LTD.,,49855C090512090037800000,"3795 CAREY RD
VICTORIA BC  V8Z 6T8",2012,2012-01-01-00.00.00.000000,,,ADMINISTRATION OFFICE,APPROVED,NOT APPLICABLE,1819991012122558940000,CAREY RD,,000-171-433
10056,ROAD ROCKETEER PRODUCTS INC.,,50152C090512103554980000,"D 3267 TENNYSON AVE
VICTORIA BC  V8Z 3P4  (Alias or unit within)
3267 TENNYSON AVE
VICTORIA BC  V8Z 3P4",2012,2012-01-01-00.00.00.000000,,,TECHNICIAN,TRANSFERRED,NOT APPLICABLE,52325C100204150617560000,TENNYSON AVE,,012-371-441
10057,ZEDFALL PRINTING PRODUCTIONS,,50985C090513082721700000,"861 SHORT ST
VICTORIA BC  V8X 2V6",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,MOBILE SALES/SERVICE,1819991012131640830000,SHORT ST,,005-985-536
10058,MUSIC TO YOU,,53215C090514154143860000,"4185 BUCKINGHAM PL
VICTORIA BC  V8N 5J4",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,INSTRUCTION/TRAINING,1819991012105413430000,BUCKINGHAM PL,,001-141-872
10059,RIPPLE ROCK ENGINEERING,,53365C090515080300510000,"1106 ROCK ST
VICTORIA BC  V8P 2B8",2012,2012-01-01-00.00.00.000000,,,ENGINEER,APPROVED,NOT APPLICABLE,1819991012121240110000,ROCK ST,,006-101-097
1006,T M COMMUNICATIONS INC,,BLBUS-0914020400000907,3301 DOUGLAS STREET,2004,2004-01-01-00.00.00.000000,,,RESEARCH COMPANY,APPROVED,NOT APPLICABLE,1819991012131625060000,DOUGLAS ST,,VIS1421
10060,DOCTOR HOOK UP RENTAL SERVICES,,53365C090515080928130000,"181 BURNSIDE RD W
VICTORIA BC  V9A 1C2",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,ELECTRICAL,1819991012125303530000,BURNSIDE RD W,,007-901-097
10061,MARINA HAIR DESIGN,,53365C090515081551990000,"528 TAIT ST
VICTORIA BC  V8Z 2C8",2012,2012-01-01-00.00.00.000000,,,HAIRDRESSER/BARBER,APPROVED,NOT APPLICABLE,1819991012102641220000,TAIT ST,,001-887-874
10062,PHINSPIRATIONS,,53716C090515103047060000,"1752 BLAIR AVE
VICTORIA BC  V8N 6B5",2012,2012-01-01-00.00.00.000000,,,RETAIL SALES,APPROVED,CONVENIENCE STORE,1819991012114721910000,BLAIR AVE,,000-715-344
10063,HOME OUTFITTERS,,55421C090520140713570000,"147 3170 TILLICUM RD
VICTORIA BC  V9A 7C9  (Alias or unit within)
3100 TILLICUM RD
VICTORIA   BC   V9A 7C9",2012,2012-01-01-00.00.00.000000,,,RETAIL SALES,APPROVED,HOME IMPROVEMENT,209C20040712122420540000,TILLICUM RD,,000-197-033
10064,THERESA EWEN,,55421C090520143840700000,"1875 WATSON ST
VICTORIA BC  V8R 3H6",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,GARDENING/LAWNCARE,1819991012132003230000,WATSON ST,,000-565-598
10065,C L ELECTRICAL INSTALLATIONS LTD.,,55421C090520144337740000,"4225 PANORAMA DR
VICTORIA BC  V8X 4N3",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,ELECTRICAL,1819991012104219130000,PANORAMA DR,,004-614-917
10066,JOHNSON CONTROLS L P,,55421C090520144756410000,"201 3375 WHITTIER AVE
VICTORIA BC  V8Z 3R1  (Alias or unit within)
3375 WHITTIER AVE
VICTORIA   BC   V8Z 3R1",2012,2012-01-01-00.00.00.000000,,,ADMINISTRATION OFFICE,APPROVED,NOT APPLICABLE,45124C110404122740440000,ARDERSIER RD,,003-281-213
10067,AMANDA WOLF,,55421C090520150049810000,"323 CALDECOTE RD
VICTORIA BC  V9E 2H3",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,CONSULTANT,1819991012150405570000,CALDECOTE RD,,004-519-001
10068,STEFAN ROODBOL,,55421C090520151306240000,"560 CARNATION PL
VICTORIA BC  V8Z 6G5",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,CARPENTER,1819991012101150050000,CARNATION PL,,VIS235
10069,CONTRACTOR'S CLEANING CREW,,56506C090521075321270000,"1588 NOELLE PL
VICTORIA BC  V8N 4T1",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,CLEANING SERVICE,1819991012105129920000,NOELLE PL,,001-023-799
1007,ALCO BUILDING MAINTENANCE LTD,,BLBUS-0914020400000908,960 DOUMAC AVENUE,2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,CLEANING SERVICE,1819991012151553880000,DOUMAC AVE,,000-042-226
10070,MKC PHYSIOTHERAPY,,56506C090521075940940000,"4636 ELK LAKE DR
VICTORIA BC  V8Z 7K2",2012,2012-01-01-00.00.00.000000,,,PERSONAL SERVICE,APPROVED,NOT APPLICABLE,478C20040915150553400000,ELK LAKE DR,,026-025-795
10071,MURRAY-HILL ENTERPRISES LTD,,56506C090521080440880000,"4490 SHORE WAY
VICTORIA BC  V8N 3V2",2010,2010-01-01-00.00.00.000000,,,CONSULTANT,APPROVED,POOL HALL,1819991012135502870000,SHORE WAY,,005-367-255
10072,SH HOME SERVICES,,56506C090521080826820000,"2 4560 WEST SAANICH RD
VICTORIA BC  V8Z 3G4",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,HANDYMAN SERVICE,1819991012154608020000,WEST SAANICH RD,,VIS2226
10073,VICTORIA SOCIETY FOR CHILDREN WITH AUTISM,,56506C090521082938760000,"3100 TILLICUM RD
VICTORIA BC  V9A 7C9",2012,2012-01-01-00.00.00.000000,,,REGISTERED SOCIETY,APPROVED,NOT APPLICABLE,1819991012125354010000,TILLICUM RD,,000-197-033
10074,VANCOUVER ISLAND MULTIPLE BIRTHS ASSO.,,56506C090521130458200000,"3100 TILLICUM RD
VICTORIA BC  V9A 6T2",2012,2012-01-01-00.00.00.000000,,,EXHIBITION/FAIR/CARNIVAL/TRADE SHOWS,APPROVED,NOT APPLICABLE,1819991012125355220000,TILLICUM RD,,003-290-085
10075,DRESLER JOINERY,,56506C090521131026600000,"818 BECKWITH AVE
VICTORIA BC  V8X 3S1",2011,2011-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,REPAIR SERVICE,1819991012104253240000,BECKWITH AVE,,017-468-809
10076,DON OSBORNE PHOTOGRAPHY,,57467C090522080332120000,"4325 PARKRIDGE CRT
VICTORIA BC  V8Z 6N8",2012,2012-01-01-00.00.00.000000,,,PERSONAL SERVICE,APPROVED,NOT APPLICABLE,1819991012103254880000,PARKRIDGE CRT,,000-279-986
10077,ANDY & JAS CONSTRUCTION LTD,,59888C090526135305060000,"5090 WEST SAANICH RD
VICTORIA BC  V9E 2E7",2011,2011-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,EXCAVATING,1819991012150450380000,WEST SAANICH RD,,001-428-896
10078,GREAT WHITE CLADDING AND DECKING LTD.,,61019C090527080024110000,"647 DUPPLIN RD
VICTORIA BC  V8Z 1C2",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,TRANSFERRED,GENERAL CONTRACTOR,1819991012130612810000,DUPPLIN RD,,006-030-238
10079,CASA LINDA DESIGNS,,61019C090527080539380000,"2868 TUDOR AVE
VICTORIA BC  V8N 1L9",2012,2012-01-01-00.00.00.000000,,,DESIGNER,APPROVED,NOT APPLICABLE,1819991012134512690000,TUDOR AVE,,000-908-746
1008,UNIVERSITY HEIGHTS MERCHANT ASSOC,,BLBUS-0914020400000909,3980 SHELBOURNE STREET,2010,2010-01-01-00.00.00.000000,,,RETAIL (ITINERANT MALL SALES),APPROVED,NOT APPLICABLE,49119991117153905260000,SHELBOURNE ST,,002-562-651
10080,KLEX I T,,61019C090527080903340000,"4494 POMONA WAY
VICTORIA BC  V8N 3T6",2010,2010-01-01-00.00.00.000000,,,DESIGNER,APPROVED,WEB PAGE DESIGNER,1819991012112429430000,POMONA WAY,,003-655-105
10082,D R T C SERVICES LTD.,,61576C090527142903730000,"1216 TATTERSALL DR
VICTORIA BC  V8P 1Z1",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,HANDYMAN SERVICE,1819991012115719280000,TATTERSALL DR,,005-568-072
10083,CADILLAC IMAGING AND IMPLANTS,,63147C090529083321640000,"2 15 CADILLAC AVE
VICTORIA BC  V8Z 1T3",2012,2012-01-01-00.00.00.000000,,,CONSULTANT,APPROVED,NOT APPLICABLE,1819991012122619650000,CADILLAC AVE,,VIS4615
